İlçe,Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyatı,Site_Icerisinde,Bulundugu_Kat,Kat_Sayisi,Isitma_Tipi,Veri_Kaynagi,Isitma_Skoru,İlçe_Kod,Oda_Metrekare,Yaş_Grup,Metrekare_Log,Oda_Sayisi_Log,Metrekare_x_Oda,Yas_x_Metrekare,İlçe_Gücü,Giris_Kat_Mi,Site_Bonus,Kat_Orani,Ilce_Oda_Key,İlçe_Oda_Gücü
Beşiktaş,400,6.0,13.0,35000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,65.57377049180329,2,5.993961427306569,1.9459101490553132,2400.0,5200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,143,3.0,2.0,10500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,46.12903225806451,0,4.969813299576001,1.3862943611198906,429.0,286.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,240,4.5,18.0,11000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.173913043478265,2,5.484796933490655,1.7047480922384253,1080.0,4320.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,600,3.0,30.0,13000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,193.54838709677418,3,6.398594934535208,1.3862943611198906,1800.0,18000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,85,3.0,30.0,1100000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,27.419354838709676,3,4.454347296253507,1.3862943611198906,255.0,2550.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,100,4.0,30.0,1250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,24.390243902439025,3,4.61512051684126,1.6094379124341003,400.0,3000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,240,5.0,18.0,21000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,47.05882352941177,2,5.484796933490655,1.791759469228055,1200.0,4320.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,90,3.0,10.0,1580000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.032258064516128,1,4.51085950651685,1.3862943611198906,270.0,900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,320,7.0,18.0,10950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,45.07042253521127,2,5.771441123130016,2.0794415416798357,2240.0,5760.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_7,47342307.692307696
Beşiktaş,120,4.0,10.0,1700000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.26829268292683,1,4.795790545596741,1.6094379124341003,480.0,1200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,130,4.0,30.0,2500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,31.707317073170735,3,4.875197323201151,1.6094379124341003,520.0,3900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,125,4.0,30.0,1500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,30.487804878048784,3,4.836281906951478,1.6094379124341003,500.0,3750.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
